uid,sid
6921,0
2500,0
7049,0
4177,0
2733,0
6792,0
3712,0
4887,0
568,1
1059,2
4488,2
4153,2
3776,2
2173,2
1197,2
6586,3
5513,4
6415,4
4607,4
1837,4
5915,4
744,4
327,4
6160,4
5274,4
3171,5
1570,5
4248,6
2863,7
7314,7
3248,7
5351,7
769,7
6660,7
4825,8
3537,7
1630,9
3433,7
2528,10
5750,7
4825,9
7553,10
3713,10
1571,10
5743,10
3135,10
7214,10
1831,7
5018,10
4248,10
1653,10
7026,10
723,10
657,9
3431,10
3537,10
7405,10
5984,11
2348,10
6835,12
6975,13
4743,14
6343,14
3357,14
2005,14
5101,14
2538,14
7074,14
5203,14
4340,14
2383,14
5128,14
980,15
6363,15
2897,15
1337,15
282,15
2399,15
5646,15
3138,15
7277,15
5847,15
4787,15
7092,15
6351,15
4154,16
853,16
1927,16
4840,16
3923,16
2590,17
3147,17
4132,18
2987,18
1070,18
5175,18
5523,18
7136,18
3256,18
162,18
5583,18
1337,18
738,18
796,18
7224,18
3553,18
4918,18
4814,18
3740,18
4912,18
3224,18
6991,18
923,18
6297,18
3761,18
1578,18
7249,18
6033,18
914,18
5333,18
4660,18
7092,18
3064,18
1922,18
5911,18
6351,18
2136,19
2196,20
6359,20
952,20
6158,20
7096,21
2170,21
4044,22
1572,22
6027,22
558,22
3422,22
57,22
7224,22
354,22
4655,22
3124,22
2889,22
1394,22
2283,22
2253,22
3194,22
3064,22
4055,22
3189,22
3793,22
4761,23
1968,23
7041,23
985,24
3710,24
4124,24
2861,24
689,24
785,25
7164,26
565,27
5274,27
3035,28
6640,28
716,28
6381,28
3062,28
2555,28
2714,28
371,29
5646,30
1052,30
3849,30
5966,30
4918,31
260,31
3671,32
6510,32
4821,32
2398,32
3998,33
4321,33
3090,33
536,33
6343,33
540,33
6315,33
4605,33
318,33
1377,33
5950,33
108,33
4894,33
388,33
5656,33
4821,33
6498,33
3141,33
610,33
5676,34
7495,35
3234,36
1048,37
6656,37
3109,37
5099,38
6609,39
4814,40
4704,40
1721,40
5911,40
4547,41
3422,42
7266,43
4538,44
5578,44
7249,44
6495,44
1539,44
5333,44
2907,44
3734,45
1187,46
3543,47
1278,47
6094,47
4462,47
4851,47
6059,47
5672,47
3415,48
3552,48
4393,48
822,49
1968,49
7261,49
830,50
2907,51
6036,51
6174,51
3030,51
4912,51
3869,52
3787,53
1710,53
6304,53
7190,53
6438,53
2715,53
5004,53
4403,53
2208,53
5991,53
7406,53
6597,53
7539,53
2756,53
6623,53
6139,53
6231,53
3396,53
6765,53
1575,53
4330,53
822,53
5535,53
1811,53
204,53
7186,53
1782,53
6614,53
4694,53
6914,53
4954,53
5776,53
7470,53
3294,53
1798,53
7112,53
1484,53
3030,53
2309,53
5680,53
5194,53
2666,53
983,53
4307,53
1117,53
6604,53
7427,53
938,53
2145,53
7006,53
3646,53
6761,53
6622,53
2656,54
3147,54
5780,54
4045,54
7034,54
2173,54
4644,54
2633,54
1014,54
4546,54
1938,54
1567,55
5127,55
6813,55
548,55
4569,55
1483,56
1479,57
2495,58
246,58
2410,58
5863,58
5149,58
3667,58
5776,58
3900,58
3395,58
5507,58
1432,58
7322,59
5987,59
7003,59
1011,59
6743,59
4825,59
6060,59
396,59
2375,59
4224,59
2565,59
5327,59
511,59
4081,59
3230,59
5796,59
1249,59
230,59
4201,59
282,59
7333,59
3903,59
5185,59
4889,59
4766,59
1850,59
3552,59
5601,59
6958,59
6450,59
4124,59
3481,59
1602,59
2453,59
3802,59
5811,59
1804,59
1941,59
6442,59
4307,59
6196,59
5678,59
3331,59
2190,59
686,59
7537,59
6,59
7261,59
5965,59
5448,59
2998,59
215,59
1395,59
2690,59
7341,59
438,59
6142,59
242,59
2215,59
260,59
4275,59
1529,59
7342,59
3109,59
3945,59
2325,59
7574,59
7434,59
179,59
3147,59
6432,59
7138,60
3467,60
5287,61
7529,62
2052,62
7041,62
6903,62
2979,62
7041,63
4683,63
5079,63
2317,63
5189,64
7158,65
6015,66
1710,67
7284,67
806,67
2162,67
6381,68
2030,68
5069,68
5018,68
6581,69
7464,68
3,70
3123,70
6069,71
5127,72
3776,73
4573,74
6061,74
5188,74
6895,75
7362,75
5481,75
463,75
2399,76
6364,76
5513,77
2897,77
282,77
3224,77
5915,77
1539,77
2729,77
4232,77
6057,77
5863,77
5287,77
3928,78
3682,79
5523,80
5494,80
57,80
914,80
4814,80
5911,80
2633,81
5932,82
6668,82
6546,83
3627,84
207,84
4278,84
2974,84
6636,84
1962,84
4214,84
7303,84
4833,84
6685,85
4485,85
2633,86
7252,86
2360,87
162,87
4547,87
7224,87
6998,87
